Order Type,Order Number,Datetime
short,3000,04.03.2023 22:23:12
short,3000,05.03.2023 01:16:10
long,3000,05.03.2023 01:18:49
long,3000,05.03.2023 02:33:00
long,3000,05.03.2023 03:18:48
long,3000,05.03.2023 09:04:11
long,3000,05.03.2023 21:41:49
long,3000,06.03.2023 02:18:48
short,3000,06.03.2023 15:46:21
short,3000,06.03.2023 15:51:46
long,3000,06.03.2023 16:18:48
long,3000,06.03.2023 19:18:46
long,3000,06.03.2023 20:57:56
short,3000,07.03.2023 03:00:20
short,3000,07.03.2023 03:05:00
long,3000,07.03.2023 09:40:41
long,3000,07.03.2023 14:16:24
long,3000,07.03.2023 14:31:39
long,3000,07.03.2023 15:00:55
long,3000,07.03.2023 15:07:25
long,3000,07.03.2023 15:18:48
short,3000,07.03.2023 15:21:17
long,3000,07.03.2023 15:28:54
short,3000,07.03.2023 15:37:19
short,3000,07.03.2023 16:18:48
long,3000,07.03.2023 16:27:49
long,3000,07.03.2023 18:40:00
long,3000,07.03.2023 18:49:23
long,3000,07.03.2023 19:57:25
long,3000,07.03.2023 20:04:27
long,3000,07.03.2023 20:10:51
long,3000,07.03.2023 20:18:47
long,3000,07.03.2023 21:13:31
long,3000,07.03.2023 21:18:48
short,3000,07.03.2023 21:43:31
short,3000,07.03.2023 23:33:13
short,3000,07.03.2023 23:38:19
long,3000,08.03.2023 03:22:40
long,3000,08.03.2023 05:39:38
long,3000,08.03.2023 06:18:47
short,3000,08.03.2023 10:24:23
short,3000,08.03.2023 10:36:02
short,3000,08.03.2023 10:40:28
long,3000,08.03.2023 12:49:27
long,3000,08.03.2023 14:09:05
long,3000,08.03.2023 15:00:22
long,3000,08.03.2023 15:07:07
short,3000,08.03.2023 15:12:36
long,3000,08.03.2023 15:18:48
long,3000,08.03.2023 18:23:30
long,3000,08.03.2023 18:27:33
short,3000,08.03.2023 20:35:39
long,3000,08.03.2023 21:39:14
long,3000,08.03.2023 21:49:15
short,3000,08.03.2023 22:18:48
